Sr. No., File Name, WebLinks,HTML Content,JS Content,parts,Vector,Label
1,0001.ea7e79d3153e7469e7a9c3e0af6a357e,0,0,0,6,-2.2868144E-05,0
2,0002.b3120c4bcbf3101e661161ee7efcb8bf,0,0,0,6,0.0001615654,0
3,0003.acfc5ad94bbd27118a0d8685d18c89dd,0,0,0,6,-1.6765734E-05,0
4,0004.e8d5727378ddde5c3be181df593f1712,0,0,0,6,-0.0001244744,0
5,0005.8c3b9e9c0f3f183ddaf7592a11b99957,0,0,0,6,-1.2028548E-06,0
6,0006.ee8b0dba12856155222be180ba122058,0,0,0,6,6.571625E-05,0
7,0007.c75188382f64b090022fa3b095b020b0,0,0,0,6,0.000201829,0
8,0008.20bc0b4ba2d99aae1c7098069f611a9b,0,0,0,6,0.0001602096,0
9,0009.435ae292d75abb1ca492dcc2d5cf1570,0,0,0,6,-1.0546609E-05,0
10,0010.4996141de3f21e858c22f88231a9f463,0,0,0,6,-4.4003893E-05,0
11,0011.07b11073b53634cff892a7988289a72e,0,0,0,6,1.9614681E-05,0
12,0012.d354b2d2f24d1036caf1374dd94f4c94,0,0,0,6,0.0003877237,0
13,0013.ff597adee000d073ae72200b0af00cd1,0,0,0,6,0.0003365835,0
14,0014.532e0a17d0674ba7a9baa7b0afe5fb52,0,0,0,6,9.355647E-05,0
15,0015.a9ff8d7550759f6ab62cc200bdf156e7,0,0,0,6,0.0003504531,0
16,0016.d82758030e304d41fb3f4ebbb7d9dd91,0,0,0,6,0.0001834547,0
17,0017.d81093a2182fc9135df6d9158a8ebfd6,0,0,0,6,6.157268E-05,0
18,0018.ba70ecbeea6f427b951067f34e23bae6,0,0,0,6,3.2479218E-07,0
19,0019.a8a1b2767e83b3be653e4af0148e1897,0,0,0,6,-0.0001413966,0
20,0020.ef397cef16f8041242e3b6560e168053,0,0,0,6,2.4241837E-05,0
21,0021.f8e73bdba7277d967af4d561f0402129,0,0,0,6,-1.0250646E-05,0
22,0022.7241da4491c49b50c0470a3638ee35c4,0,0,0,6,-0.0001620127,0
23,0023.b4a61a2990263e8825246e41a8d78399,0,0,0,6,0.0002174907,0
24,0024.771af861a302951df7630ec4ff1965a2,0,0,0,6,-0.0003733395,0
25,0025.64d0382de54b9e4c5b4200173133b8d7,0,0,0,6,0.0002747121,0
26,0026.6baf1aea162ccb9a6e9f142c0715ceb4,0,0,0,6,-0.0002972576,0
27,0027.11da06d9130a188bf0ffb2060881dbe9,0,0,0,6,-0.0001607669,0
28,0028.54cf7aa229456fb33194b3a12a713e3e,0,0,0,6,-0.0001257603,0
29,0029.7119e865bff73aca46681d96a451cb60,0,0,0,6,-0.000165625,0
30,0030.77828e31de08ebb58b583688b87524cc,0,0,0,6,-0.0002007721,0
31,0031.af5b387661e1f58d3787ac41139106e5,0,0,0,6,0.00000395,0
32,0032.f07a3f2152f2bedfc9492459c171012c,0,0,0,6,7.438686E-06,0
33,0033.e3fd617544226dc06abf36c95a9a2d11,0,0,0,6,-6.3048945E-05,0
34,0034.4be53f8dac3bd651ace83a38b6313c45,0,0,0,6,-0.0002496648,0
35,0035.50b257408356cfcfce8cf2afe9fd7959,0,0,0,6,-0.0001107665,0
36,0036.7ca216a105267375948e13b460d1fb8f,0,0,0,6,-0.0002434163,0
37,0037.0c57a93c0241775d406efecf43ba19cf,0,0,0,6,-0.0002571091,0
38,0038.f2ffa1197c969d067be4d01c26fa9b5e,0,0,0,6,-0.000314141,0
39,0039.5bf1ec6602c4657bac8d566604572ad5,0,0,0,6,3.426474E-06,0
40,0040.930593a7e616570a2b63f2d774847316,0,0,0,6,-0.0002216578,0
41,0041.af4e0891f17484c10c032f713bce43de,0,0,0,6,-0.0005476981,0
42,0042.7ef6c72f88de15d72b1c0d9c164ccb78,0,0,0,6,-0.0004673862,0
43,0043.2ea45c42b1ea15bc214723e142b81127,0,0,0,6,-0.0003950436,0
44,0044.f1db2c76854ee58bc73d0c85ca6a86d2,0,0,0,6,-0.0001850728,0
45,0045.910fa2e79f96c646f1b6c987c65cbe3f,0,0,0,6,0.000002363,0
46,0046.05e8a863eaf20f90374d0a15427d9a16,0,0,0,6,-0.0001369263,0
47,0047.5c3e049737a2813d4ac6f13f02362fb1,0,0,0,6,-0.0001441138,0
48,0048.6dbad96d78f9dd6100a4ad2a8b8086b6,0,0,0,6,0.0002576103,0
49,0049.bda43370915afa1f557f7edab6913e04,0,0,0,6,2.1318383E-05,0
50,0050.fd9291b33ecd99af26da03a7d4152dc2,0,0,0,6,-0.000213519,0
51,0051.9281d3f8a3faf47d09a7fafdf2caf26e,0,0,0,6,0.0001712346,0
52,0052.40794e238104d6b01f36b0f4d5145175,0,0,0,6,-0.0001166244,0
